Condition,BL#,Repeat,BATCH,Day 1,Day 2 ,Day 3,Day 4 ,Day 5,FbID
CG34378,BL# 38962,1,6,43,48,39,17,8,FBgn0085407
CG3715,,1,6,179,71,50,35,9,FBgn0015296
CG42236,,1,6,72,38,3,24,20,FBgn0262114
CG42318,BL# 35280,1,6,68,68,38,21,23,FBgn0260941
CG43140,BL# 35225,1,6,154,49,49,19,35,FBgn0262614
CG4451,,1,6,148,77,34,32,23,FBgn0038755
CG4626,,1,6,110,5,70,11,2,FBgn0027342
CG4722,,1,6,59,62,14,16,40,FBgn0000180
CG4971,,1,6,76,82,34,3,45,FBgn0031903
CG5212,,1,6,88,45,14,1,33,FBgn0025574
CG5671,BL# 33643,1,6,136,74,41,23,32,FBgn0026379
CG5814,BL# 41979,1,6,95,50,9,54,10,FBgn0015625
CG5993,BL# 33680,1,6,50,106,34,29,4,FBgn0004956
CG6033,,1,6,64,44,11,3,1,FBgn0004638
CG6104,,1,6,25,5,4,15,12,FBgn0002592
CG6531,BL# 50594,1,6,83,53,4,25,4,FBgn0030941
CG6705,,1,6,79,62,18,39,9,FBgn0003867
CG7104,,1,6,38,73,21,7,2,FBgn0031959
CG7147,,1,6,192,72,53,36,3,FBgn0259984
CG7225,,1,6,27,41,5,9,2,FBgn0004003
CG7392,BL# 34522,1,6,0,3,3,14,2,FBgn0044323
CG7890,,1,6,76,67,28,9,4,FBgn0031005
CG7908,,1,6,77,55,34,4,18,FBgn0039734
CG8053,,1,6,0,0,0,0,0,FBgn0026250
CG8057,BL# 35161,1,6,75,73,11,24,17,FBgn0260972
CG8146,,1,6,102,66,4,43,2,FBgn0030869
CG8337,,1,6,77,0,83,34,33,FBgn0002732
CG8339,,1,6,66,44,15,19,29,FBgn0020251
CG8444,,1,6,0,3,11,0,4,FBgn0037671
CG8624,,1,6,0,88,88,27,16,FBgn0023001
CG8881,,1,6,174,86,34,25,6,FBgn0026176
CG8914,,1,6,86,71,42,22,8,FBgn0026136
CG9096,BL# 33653,1,6,16,18,0,1,20,FBgn0010315
CG9196,,1,6,137,60,31,48,40,FBgn0035056
CG9211,,1,6,102,84,30,13,36,FBgn0031872
CG9224,,1,6,103,65,19,24,23,FBgn0003463
CG9314,,1,6,99,78,15,16,14,FBgn0032061
CG9774,,1,6,97,76,50,3,36,FBgn0026181
CG9962,,1,6,161,51,11,51,2,FBgn0031441
CG9972,,1,6,35,47,31,20,23,FBgn0035379
OR,,1,6,44,32,5,16,2,
OR,,2,6,52,41,27,3,23,
OR,,3,6,84,45,29,1,9,
OR,,4,6,56,51,1,35,1,
Tj>HpoRNAi,,1,6,91,47,27,12,31,
Tj>HpoRNAi,,2,6,42,71,27,11,31,
Tj>HpoRNAi,,3,6,68,40,16,12,13,
Tj>HpoRNAi,,4,6,21,85,42,14,15,
Tj>HpoRNAi,,5,6,33,42,3,22,14,
"Tj>HpoRNAi,Bab1RNAi",,1,6,48,33,38,26,21,
"Tj>HpoRNAi,Bab2RNAi",BL# 35720,1,6,146,53,43,19,3,
"Tj>HpoRNAi,HpoRNAi",BL# 33614,1,6,135,24,70,32,5,
"Tj>HpoRNAi,YkiRNAi",,1,6,0,0,0,0,0,
CG10155,BL# 32852,1,7,66,49,35,6,21,FBgn0020767
CG10539,BL# 41702,1,7,91,65,28,12,16,FBgn0283472
CG10944,BL# 32418,1,7,0,0,0,0,0,FBgn0261592
CG11009,BL# 34603,1,7,102,60,30,28,9,FBgn0036318
CG11228,BL# 35176,1,7,118,19,51,35,21,FBgn0261456
CG11546,BL# 53349,1,7,170,30,69,31,31,FBgn0010504
CG11561,BL# 43134,1,7,14,7,25,33,14,FBgn0003444
CG11990,BL# 35238,1,7,90,69,24,32,23,FBgn0037657
CG12072,BL# 34064,1,7,66,4,27,2,16,FBgn0011739
CG1214,BL# 41593,1,7,85,79,53,16,35,FBgn0003295
CG12676,BL# 38209,1,7,0,1,64,84,86,FBgn0000547
CG13780,,1,7,35,58,62,24,4,FBgn0031888
CG1502,,1,7,97,50,4,1,23,FBgn0003865
CG15066,,1,7,143,16,26,36,58,FBgn0034328
CG15224,BL# 42943,1,7,1,0,0,0,0,FBgn0000259
CG15319,BL# 37489,1,7,0,0,0,0,0,FBgn0261617
CG15800,,1,7,112,54,41,17,3,FBgn0034904
CG16705,BL# 33926,1,7,0,0,0,0,0,FBgn0039102
CG17077,BL# 35038,1,7,0,2,16,54,11,FBgn0003118
CG17870,BL# 41878,1,7,60,2,80,16,26,FBgn0004907
CG17941,BL# 28008,1,7,28,3,69,1,3,FBgn0284247
CG17998,BL# 34843,1,7,0,1,1,0,2,FBgn0261988
CG18069,BL# 35330,1,7,115,67,29,12,22,FBgn0264607
CG18803,BL# 27681,1,7,91,49,20,14,3,FBgn0284421
CG3096,,1,7,67,30,0,0,0,FBgn0000216
CG31009,BL# 35037,1,7,115,43,5,12,34,FBgn0039709
CG31431,,1,7,114,4,89,4,14,FBgn0051431
CG31695,,1,7,108,74,33,21,27,FBgn0005590
CG32045,,1,7,75,53,35,3,4,FBgn0016081
CG32134,BL# 40871,1,7,104,63,33,30,24,FBgn0285896
CG32717,BL# 35291,1,7,106,15,56,37,26,FBgn0261873
CG33100,BL# 43990,1,7,109,55,24,32,48,FBgn0053100
CG33967,BL# 51499,1,7,78,22,52,26,20,FBgn0262127
CG34389,,1,7,102,8,108,31,16,FBgn0285955
CG3938,BL# 36092,1,7,44,42,30,11,10,FBgn0010382
CG42312,BL# 38194,1,7,78,55,33,37,27,FBgn0259212
CG43122,,1,7,71,2,86,3,31,FBgn0262582
CG44128,,1,7,148,47,35,18,22,FBgn0264959
CG5185,,1,7,1,18,92,38,6,FBgn0026320
CG5475,BL# 35244,1,7,80,27,41,18,24,FBgn0015765
CG5605,,1,7,0,0,0,0,0,FBgn0036974
CG5912,BL# 53342,1,7,131,74,35,18,28,FBgn0000119
CG6134,BL# 58499,1,7,96,58,33,17,10,FBgn0003495
CG6205,,1,7,56,2,101,4,2,FBgn0004957
CG6210,,1,7,91,65,31,6,5,FBgn0036141
CG6383,BL# 38373,1,7,101,70,50,31,34,FBgn0259685
CG6843,,1,7,0,75,19,4,1,FBgn0036827
CG7850,BL# 34392,1,7,150,57,31,30,3,FBgn0243512
CG8285,,1,7,5,64,27,7,17,FBgn0000206
CG8354,,1,7,116,50,11,4,34,FBgn0002632
OR,,1,7,47,24,29,2,22,
OR,,2,7,106,34,12,21,7,
OR,,3,7,40,42,17,20,13,
Tj>HpoRNAi,,1,7,88,44,21,21,23,
Tj>HpoRNAi,,2,7,82,40,31,29,16,
Tj>HpoRNAi,,3,7,86,36,28,26,23,
Tj>HpoRNAi,,4,7,94,48,40,21,8,
Tj>HpoRNAi,,5,7,69,44,16,17,6,
"Tj>HpoRNAi,Bab1RNAi",,1,7,97,83,32,28,20,
"Tj>HpoRNAi,Hpo",,1,7,0,0,0,3,1,
"Tj>HpoRNAi,HpoRNAi",BL #33614,1,7,95,3,2,49,26,
"Tj>HpoRNAi,Yki",,1,7,0,0,0,0,0,
"Tj>HpoRNAi,YkiRNAi",,1,7,0,0,0,0,0,
CG11324,BL# 41908,1,8,188,80,39,18,28,FBgn0025777
CG12700,,1,8,55,108,5,19,84,FBgn0026174
CG13852,BL# 34959,1,8,82,39,17,2,11,FBgn0038965
CG14173,BL# 32861,1,8,133,30,13,13,11,FBgn0044051
CG1505,,1,8,140,55,27,29,23,FBgn0000808
CG16982,,1,8,0,0,0,0,0,FBgn0025638
CG42783,BL# 34332,1,8,0,2,0,0,0,FBgn0261854
CG43398,BL# 39073,1,8,0,0,0,0,0,FBgn0263289
CG43772,BL# 34862,1,8,162,30,19,3,18,FBgn0264272
CG4637,BL# 32489,1,8,104,61,21,19,34,FBgn0004644
CG5059,BL# 42494,1,8,143,65,29,28,13,FBgn0037007
CG5178,,1,8,0,0,0,0,0,FBgn0000047
CG7121,,1,8,115,75,12,10,18,FBgn0026760
CG8023,BL# 53880,1,8,165,53,21,3,32,FBgn0265089
CG8556,,1,8,0,0,0,0,0,FBgn0014011
CG9949,BL# 40842,1,8,183,58,33,19,33,FBgn0003410
OR,,1,8,90,36,20,30,11,
OR,,2,8,109,73,23,16,17,
OR,,3,8,150,36,26,20,11,
OR,,4,8,174,13,36,17,14,
Tj>HpoRNAi,,1,8,198,35,24,13,2,
Tj>HpoRNAi,,2,8,138,70,33,26,11,
Tj>HpoRNAi,,3,8,138,48,11,14,15,
Tj>HpoRNAi,,4,8,129,52,28,15,10,
"Tj>HpoRNAi,Bab1RNAi",,1,8,112,60,19,20,17,
"Tj>HpoRNAi,Bab2RNAi",BL#35720,1,8,171,60,26,34,23,
"Tj>HpoRNAi,Hpo",,1,8,0,0,0,0,0,
"Tj>HpoRNAi,HpoRNAi",BL# 33614,1,8,180,55,13,23,12,
"Tj>HpoRNAi,Yki",,1,8,0,0,0,0,0,
"Tj>HpoRNAi,YkiRNAi",,1,8,0,0,0,0,0,
CG10520,BL# 66960,1,9,191,67,62,4,41,FBgn0003882
CG1768,,1,9,114,55,30,21,42,FBgn0011202
OR,,1,9,103,57,56,38,29,
OR,,2,9,78,63,41,32,26,
OR,,2,9,100,43,41,29,32,
OR,,3,9,91,68,31,29,43,
OR,,4,9,137,61,41,40,23,
Tj>HpoRNAi,,1,9,83,63,38,29,40,
Tj>HpoRNAi,,2,9,96,54,39,33,35,
Tj>HpoRNAi,,3,9,172,68,48,33,32,
Tj>HpoRNAi,,4,9,164,63,66,36,27,
Tj>HpoRNAi,,5,9,141,74,54,54,32,
"Tj>HpoRNAi,Bab1RNAi",,1,9,106,75,46,23,34,
"Tj>HpoRNAi,Bab2RNAi",BL#35720,1,9,165,59,45,39,51,
"Tj>HpoRNAi,Hpo",,1,9,0,0,0,0,0,
"Tj>HpoRNAi,HpoRNAi",BL# 33614,1,9,138,65,50,59,28,
"Tj>HpoRNAi,Yki",,1,9,0,0,0,0,0,
"Tj>HpoRNAi,YkiRNAi",,1,9,0,0,0,0,0,
