FbID,DegreeC
FBgn0001199,0.005549807167717054
FBgn0010434,0.0037625811306556296
FBgn0027594,0.0007525162261311259
FBgn0000283,0.00630232339384818
FBgn0002781,0.007148904148245696
FBgn0017590,0.0004703226413319537
FBgn0039254,0.0006584516978647352
FBgn0004419,0.005926065280782617
FBgn0000163,0.003668516602389239
FBgn0000810,0.0037625811306556296
FBgn0001139,0.006866710563446524
FBgn0010215,0.001787226037061424
FBgn0037719,0.006208258865581789
FBgn0029688,0.0027278713197253315
FBgn0032940,0.0012228388674630796
FBgn0003655,0.0015050324522622519
FBgn0000392,0.006020129809049007
FBgn0025625,0.0005643871695983444
FBgn0003285,0.0010347098109302981
FBgn0024189,0.009030194713573511
FBgn0000578,0.006208258865581789
FBgn0022361,0.0015990969805286426
FBgn0013765,0.010817420750634936
FBgn0002709,0.0002821935847991722
FBgn0004644,0.001787226037061424
FBgn0002735,0.0024456777349261593
FBgn0026430,0.0015050324522622519
FBgn0014127,0.0015990969805286426
FBgn0035849,0.0016931615087950333
FBgn0000588,0.002163484150126987
FBgn0000464,0.0016931615087950333
FBgn0038016,0.0031041294327908944
FBgn0025638,0.0008465807543975167
FBgn0041096,0.004421032828520365
FBgn0010611,0.004044774715454802
FBgn0026398,0.00037625811306556296
FBgn0004657,0.0014109679239958611
FBgn0011766,0.001787226037061424
FBgn0038975,0.0010347098109302981
FBgn0039858,0.013639356598626657
FBgn0000114,0.00253974226319255
FBgn0053193,0.004609161885053146
FBgn0260635,0.003292258489323676
FBgn0011020,0.0031041294327908944
FBgn0036248,0.003574452074122848
FBgn0026431,0.0011287743391966889
FBgn0000352,0.0027278713197253315
FBgn0003882,0.001787226037061424
FBgn0015509,0.0033863230175900667
FBgn0000629,0.003950710187188411
FBgn0023076,0.0031041294327908944
FBgn0030891,0.003292258489323676
FBgn0000250,0.003950710187188411
FBgn0002973,0.0024456777349261593
FBgn0013764,0.005361678111184272
FBgn0031314,0.0010347098109302981
FBgn0034643,0.0008465807543975167
FBgn0037670,0.0009406452826639074
FBgn0030616,0.011099614335434108
FBgn0011291,0.0024456777349261593
FBgn0001122,0.0026338067914589407
FBgn0010421,0.0012228388674630796
FBgn0024250,0.005455742639450663
FBgn0037120,0.0015050324522622519
FBgn0003870,0.008653936600507948
FBgn0029123,0.0011287743391966889
FBgn0033491,0.0008465807543975167
FBgn0032812,0.012510582259429968
FBgn0003130,0.0012228388674630796
FBgn0020616,0.0020694196218605963
FBgn0002283,0.0005643871695983444
FBgn0023091,0.0037625811306556296
FBgn0039044,0.017119744144483116
FBgn0003944,0.008748001128774338
FBgn0028931,0.0006584516978647352
FBgn0000559,0.01401561471169222
FBgn0003866,0.0018812905653278148
FBgn0003559,0.0005643871695983444
FBgn0010287,0.0022575486783933778
FBgn0032299,0.0012228388674630796
FBgn0000504,0.005361678111184272
FBgn0031711,0.0004703226413319537
FBgn0038235,0.0011287743391966889
FBgn0010109,0.0027278713197253315
FBgn0010602,0.014109679239958612
FBgn0086680,0.0010347098109302981
FBgn0037659,0.0006584516978647352
FBgn0024179,0.0005643871695983444
FBgn0036522,0.00037625811306556296
FBgn0002573,0.0005643871695983444
FBgn0000577,0.0026338067914589407
FBgn0015546,0.0007525162261311259
FBgn0003567,0.004326968300253974
FBgn0030058,0.00018812905653278148
FBgn0000084,0.015332518107421691
FBgn0031420,0.0024456777349261593
FBgn0030554,9.406452826639074e-05
FBgn0035827,0.0004703226413319537
