FbID,Closeness
FBgn0001199,0.3260430285272454
FBgn0010434,0.3322151294515517
FBgn0027594,0.27584386258572713
FBgn0000283,0.3391153600999249
FBgn0002781,0.3500320566118367
FBgn0017590,0.2813703062512435
FBgn0039254,0.2789886504385098
FBgn0004419,0.3399898758889776
FBgn0000163,0.3263254828077059
FBgn0000810,0.3110707818624392
FBgn0001139,0.33504339040113923
FBgn0010215,0.3260027178261015
FBgn0037719,0.3275619096812902
FBgn0029688,0.331682314847255
FBgn0032940,0.31423107194481936
FBgn0003655,0.2980351501830473
FBgn0000392,0.33757412398629694
FBgn0025625,0.2808757670855067
FBgn0003285,0.3090020194482718
FBgn0024189,0.35462194639996847
FBgn0000578,0.34197412391634335
FBgn0022361,0.3042949115671176
FBgn0013765,0.37023188464714485
FBgn0002709,0.3060254150537607
FBgn0004644,0.30268807375026147
FBgn0002735,0.3110707818624392
FBgn0026430,0.29569558804081586
FBgn0014127,0.31569834265700447
FBgn0035849,0.3217561296469757
FBgn0000588,0.3012615232741463
FBgn0000464,0.3228691318403239
FBgn0038016,0.3109974031322717
FBgn0025638,0.2908118983629608
FBgn0041096,0.33193283807483437
FBgn0010611,0.3150194417678045
FBgn0026398,0.24642911050999677
FBgn0004657,0.3022976764066455
FBgn0011766,0.3120001754127455
FBgn0038975,0.3153113880367074
FBgn0039858,0.3689110153839756
FBgn0000114,0.3222968962514244
FBgn0053193,0.33024911324882933
FBgn0260635,0.32507831498930073
FBgn0011020,0.3236617648089073
FBgn0036248,0.33506467786479005
FBgn0026431,0.32368163049955073
FBgn0000352,0.3240894152479063
FBgn0003882,0.3097188562232884
FBgn0015509,0.33245597887558276
FBgn0000629,0.3297328892933961
FBgn0023076,0.3499391483021852
FBgn0030891,0.3078026594825151
FBgn0000250,0.32761278281132705
FBgn0002973,0.3204851391621958
FBgn0013764,0.32741954893452524
FBgn0031314,0.29616055737589814
FBgn0034643,0.2789148731939141
FBgn0037670,0.29384203292549904
FBgn0030616,0.34389194423957814
FBgn0011291,0.31264757462065695
FBgn0001122,0.31488777219966746
FBgn0010421,0.29937174448150383
FBgn0024250,0.34076979515453015
FBgn0037120,0.2899484805868667
FBgn0003870,0.3533507296669189
FBgn0029123,0.2968941852168293
FBgn0033491,0.3077936770020096
FBgn0032812,0.35073044459390335
FBgn0003130,0.30168375989896923
FBgn0020616,0.3465928142298269
FBgn0002283,0.25230040019681993
FBgn0023091,0.32319562204534724
FBgn0039044,0.37427842192433863
FBgn0003944,0.34616055432826354
FBgn0028931,0.29102052673218537
FBgn0000559,0.36475189963438454
FBgn0003866,0.31198171768651056
FBgn0003559,0.28819755525938906
FBgn0010287,0.3090020194482718
FBgn0032299,0.2919792356622612
FBgn0000504,0.32136398323668075
FBgn0031711,0.2687176033077162
FBgn0038235,0.32052409681601723
FBgn0010109,0.3269121262693445
FBgn0010602,0.3538011448736326
FBgn0086680,0.28617229026014385
FBgn0037659,0.27244506831885573
FBgn0024179,0.3099190741016649
FBgn0036522,0.3055909465674179
FBgn0002573,0.281926864553951
FBgn0000577,0.32336407179776994
FBgn0015546,0.2955630077014954
