FbID,EigenVector
FBgn0001199,0.0016653586625940788
FBgn0010434,0.005553288330329254
FBgn0027594,0.00021736591639527853
FBgn0000283,0.005222265132240297
FBgn0002781,0.0027636588380368916
FBgn0017590,0.00010909316740577069
FBgn0039254,0.00018222043265433467
FBgn0004419,0.0037480902594835947
FBgn0000163,0.0014668558762920686
FBgn0000810,0.0008462411373143167
FBgn0001139,0.0025838784484869667
FBgn0010215,0.001744220948765826
FBgn0037719,0.00254820960025859
FBgn0029688,0.0044798184837780515
FBgn0032940,0.00047655784176254856
FBgn0003655,0.00042246257128254245
FBgn0000392,0.009234140721578564
FBgn0025625,0.00020628125811172283
FBgn0003285,0.0006315967033261448
FBgn0024189,0.003877239930589133
FBgn0000578,0.0023758208358750444
FBgn0022361,0.0006502632155548457
FBgn0013765,0.008048961644187138
FBgn0002709,0.00042417838008953183
FBgn0004644,0.0003480102617633728
FBgn0002735,0.001507102705176312
FBgn0026430,0.0004428622279913487
FBgn0014127,0.0006533288634994586
FBgn0035849,0.0013013460512245958
FBgn0000588,0.00045690704527587777
FBgn0000464,0.001493010519647674
FBgn0038016,0.002327310225764304
FBgn0025638,0.0002999381460496411
FBgn0041096,0.004819433254798052
FBgn0010611,0.00109340627220843
FBgn0026398,6.314572666580035e-05
FBgn0004657,0.0006384530816804794
FBgn0011766,0.0009052987714258118
FBgn0038975,0.0007780160794284765
FBgn0039858,0.009630228952245693
FBgn0000114,0.0015295622544866131
FBgn0053193,0.004147661368642517
FBgn0260635,0.003356606295840019
FBgn0011020,0.0012568633034834836
FBgn0036248,0.0015987055383633688
FBgn0026431,0.0013836194361376336
FBgn0000352,0.0009493830374039893
FBgn0003882,0.0013021440608464393
FBgn0015509,0.0016382306937239922
FBgn0000629,0.0013631744734547892
FBgn0023076,0.0038757142908974127
FBgn0030891,0.0018095456420797297
FBgn0000250,0.002484649359398106
FBgn0002973,0.0010483930737913204
FBgn0013764,0.001121654838066764
FBgn0031314,0.001513932001663383
FBgn0034643,0.00018166227871765973
FBgn0037670,0.00033392420351422434
FBgn0030616,0.10277836426195527
FBgn0011291,0.0008358023723071318
FBgn0001122,0.0019668016802991276
FBgn0010421,0.002281009673684271
FBgn0024250,0.002949931498213277
FBgn0037120,0.000409419433943403
FBgn0003870,0.0034243527361519526
FBgn0029123,0.0005219446913585975
FBgn0033491,0.0004010221466284195
FBgn0032812,0.00464398714434869
FBgn0003130,0.0004942818425610028
FBgn0020616,0.002491405539828325
FBgn0002283,5.473723464878315e-05
FBgn0023091,0.0033515138144778237
FBgn0039044,0.006603729535242305
FBgn0003944,0.006012859466932861
FBgn0028931,0.00028535475607549353
FBgn0000559,0.11000834409989049
FBgn0003866,0.0008335169224750955
FBgn0003559,0.00022453270743223378
FBgn0010287,0.0005144727198225902
FBgn0032299,0.0003210838630292831
FBgn0000504,0.0025447789365026113
FBgn0031711,8.866382540297846e-05
FBgn0038235,0.0011900093016273163
FBgn0010109,0.001306592800386949
FBgn0010602,0.002860238873076115
FBgn0086680,0.00031089277340268527
FBgn0037659,0.00014149514614808796
FBgn0024179,0.000501827748701256
FBgn0036522,0.0005574187349851997
FBgn0002573,0.00020715979750628914
FBgn0000577,0.0009199373009834746
FBgn0015546,0.00025770246347394917
FBgn0003567,0.0033005123544108017
FBgn0030058,1.969343254401592e-05
FBgn0000084,0.012161784962329019
FBgn0031420,0.0014705078612131232
FBgn0030554,6.9865421118699e-06
FBgn0035827,0.00013337648040586834
FBgn0030657,7.166331765165671e-05
FBgn0028999,0.0002269332530437336
FBgn0011016,0.006296894327773126
FBgn0031830,0.0004794979697051236
FBgn0000061,0.002079506892206033
FBgn0004863,0.0025312559075676496
FBgn0000183,0.003452576041953081
FBgn0010416,0.0008493593737130225
FBgn0033233,0.0024420359797456908
FBgn0003345,0.0009207210292646129
FBgn0025381,0.00203990694396477
FBgn0032509,0.0007458012534587007
FBgn0004656,0.0066176569448424425
FBgn0003028,0.00046336252257918705
FBgn0001226,0.002999826667012038
FBgn0032704,0.00038995307843590275
FBgn0025777,0.0019862922474894445
FBgn0027360,0.0005020113639250751
FBgn0002413,0.0006346566874725006
FBgn0000251,0.0018652391430587832
FBgn0022893,0.014117862256391705
FBgn0030711,0.000331750764330487
