FBGN_BAIT	FBGN_INTERACTOR	OVERALL_SAINT_PROB	BAITS_TOTAL	SAMPLES	TOTAL_SPECTRALCOUNT	AVE_SPECTRALCOUNT_TOTNORM	AVE_SPECTRALCOUNT_BAITNORM	CONDITIONS_ISOLATED	SAINT_TIME_0	SAINT_TIME_I10	SAINT_TIME_S10	DYNAMICS_PROB_I10_OVER_0	DYNAMICS_PROB_S10_OVER_0	DYNAMICS_PROB_I10_OVER_S10	DYNAMIC_CONDITION	CONTROL_SAMPLES	CONTROL_TOTAL_SPECTRALCOUNT	AVE_SPECTRALCOUNT_TOTNORM_CONT	INTERACTION_DETECT_METHODS	REFERENCE	DATE1	DATA_VERSION	SYMBOL_BAIT	SYMBOL_INTERACTOR	DATE_LAST_UPDATED	INTERACTION_TYPE	PUBMEDURL
FBgn0004638	FBgn0260748	1	4	6	60	0.01286862	0.085906483	BIS	0.85	1	0.99	0.15	0.157	0.01		1	3	0.002439024	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	drk	CG5004	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004638	FBgn0053558	0.999802	1	6	16	0.003490028	0.02281951	BIS	0.93	0.97	0.9	0.0958	0.156	0.124					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	drk	mim	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004638	FBgn0037891	1	2	6	163	0.034012662	0.220284283	BIS	1	0.94	1	0.06	0	0.06		1	5	0.00967118	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	drk	CG5214	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0283499	FBgn0024248	1	2	4	60	0.025614809	0.169144411	BI	0.94	1		0.06	0.94	1	S10 and I10/S10				MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	InR	chico	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0286070	FBgn0004907	0.999867345	12	4	22	0.014322258	0.080626436	BI	0.98	0.98		0.0392	0.98	0.98	S10 and I10/S10				MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	cnk	14-3-3zeta	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004638	FBgn0000382	1	6	6	72	0.016293156	0.109212259	BIS	0.98	1	1	0.02	0.02	0					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	drk	csw	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0000382	FBgn0003676	0.99	14	5	16	0.006201825	0.072077322	BIS	0	0	0.99	0	0.99	0.99	S10 and I10/S10	2	6	0.005100005	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	csw	CCT1	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0003888	0.94	13	7	33	0.005685039	0.066163963	BIS	0	0	0.94	0	0.94	0.94	S10 and I10/S10	2	5	0.002265402	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	betaTub60D	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0010198	0.95	12	7	16	0.002763208	0.03494215	BIS	0	0	0.95	0	0.95	0.95	S10 and I10/S10	2	4	0.001858898	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	RpS15Aa	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0020618	0.88	9	5	19	0.00370582	0.042387892	BIS	0	0	0.85	0	0.85	0.85	S10 and I10/S10	1	5	0.004065041	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	Rack1	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
