FBGN_GENE1_BD	FBGN_GENE2_AD	GENE1_INTERACTIONS_AS_BD	GENE1_INTERACTIONS_TOTAL	GENE2_INTERACTIONS_AS_AD	GENE2_INTERACTIONS_TOTAL	SCREEN	REFERENCE	DATE1	IST	ISTS_RFCS	DATA_VERSION	PMID	URL_PUBMED	DATE_LAST_UPDATED	PUBMEDURL	SYMBOL_BD	SYMBOL_AD	PBSSCORE	INTERACTION_TYPE	INTERACTION_DETECT_METHODS
FBgn0263600	FBgn0031879	12	12	2	2	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	DNApol-delta	uif	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0263600	FBgn0032258	12	12	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	DNApol-delta	CG7456	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0263600	FBgn0267390	12	12	8	8	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	DNApol-delta	dop	E	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0263600	FBgn0086758	12	12	12	12	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	DNApol-delta	chinmo	E	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0261261	20	20	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	plx	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0005655	20	20	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	PCNA	B	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0014455	20	20	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	Ahcy	A	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0021995	20	20	2	2	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	Rs1	B	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0026056	20	20	3	6	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	Rlip	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0026326	20	20	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	Mad1	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0026375	20	20	3	3	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	RhoGAPp190	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0030141	20	20	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	Gga	B	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0031252	20	20	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	CG13690	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0031459	20	20	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	CG2862	B	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0032393	20	20	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	Nfs1	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0261787	20	20	2	2	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	brun	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0035771	20	20	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	Sec63	C	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0036510	20	20	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	SCCRO	B	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013750	FBgn0038339	20	20	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Arf51F	CG6118	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0086384	FBgn0040344	111	112	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	CG3711	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0086384	FBgn0040366	111	112	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	CG11398	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0086384	FBgn0046704	111	112	2	2	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	Liprin-alpha	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0086384	FBgn0053519	111	112	3	3	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	Unc-89	B	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0086384	FBgn0051224	111	112	8	8	embryo	Formstecher et al (2005)	10-Sep-04	Yes	3	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	CG31224	B	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0086384	FBgn0086758	111	112	12	12	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	chinmo	E	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0086384	FBgn0051792	111	112	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	2	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	CG31792	B	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
