FbID,Label,SeedStatus,Z
FBgn0000259,CkIIbeta,Seed_Negative,-8.371353951566538
FBgn0003892,ptc,Seed_Negative,-5.316179091215694
FBgn0001624,dlg1,Seed_Negative,-5.316179091215694
FBgn0011274,Dif,Seed_Negative,-5.613338599240155
FBgn0033378,tsu,Seed_Negative,-5.316179091215694
FBgn0043903,dome,Connector_Unknown,0.0
FBgn0014011,Rac2,Seed_Negative,-9.600922395445838
FBgn0005355,Su(fu),Seed_Positive,6.745114047118753
FBgn0004647,N,Seed_Negative,-6.7036285967852045
FBgn0031610,CG15436,Connector_Unknown,0.0
FBgn0003124,polo,Seed_Negative,-7.85187048637467
FBgn0005777,PpD3,Connector_Unknown,0.0
FBgn0011642,Zyx,Seed_Positive,5.791300444559997
FBgn0004856,Bx42,Seed_Negative,-6.719702016102843
FBgn0025800,Smox,Seed_Negative,-5.056092051528037
FBgn0261988,Gprk2,Seed_Negative,-8.239452366195215
FBgn0260632,dl,Connector_Unknown,0.0
FBgn0010825,Gug,Seed_Negative,-5.316179091215694
FBgn0014020,Rho1,Seed_Negative,-6.719702016102843
FBgn0036974,eRF1,Seed_Negative,-8.415321146690308
FBgn0036790,AstC-R1,Connector_Unknown,0.0
FBgn0039234,Nct,Connector_Unknown,0.0
FBgn0020496,CtBP,Seed_Negative,-5.290170387246928
FBgn0261885,osa,Seed_Negative,-5.234845851366078
FBgn0024291,Sirt1,Seed_Negative,-6.632357535824207
FBgn0027619,eIF3j,Connector_Unknown,0.0
FBgn0036196,CG11658,Seed_Negative,-6.670573228950957
FBgn0000047,Act88F,Seed_Negative,-9.600922395445838
FBgn0021874,Nle,Seed_Negative,-7.85187048637467
FBgn0023518,trr,Seed_Negative,-5.316179091215694
FBgn0039102,SPE,Seed_Negative,-8.415321146690308
FBgn0044028,Notum,Seed_Positive,5.064082352206574
FBgn0086785,Vps36,Seed_Negative,-6.7036285967852045
FBgn0030904,upd2,Seed_Negative,-6.7036285967852045
FBgn0004638,drk,Connector_Unknown,0.0
FBgn0030530,jub,Seed_Negative,-6.406130286276985
FBgn0025638,Roc1a,Seed_Negative,-9.600922395445838
FBgn0037218,aux,Seed_Negative,-6.661472362583753
FBgn0010909,msn,Seed_Negative,-6.7036285967852045
FBgn0041627,Ku80,Connector_Unknown,0.0
